,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1992.0,692.0,8.0,0.0,742.0
1,1849.0,796.0,151.0,1.0,1538.0
2,1691.0,549.0,309.0,2.0,2087.0
3,1583.0,621.0,417.0,3.0,2708.0
4,1465.0,0.0,535.0,4.0,2708.0
5,1465.0,0.0,535.0,5.0,2708.0
6,1465.0,0.0,535.0,6.0,2708.0
7,1465.0,0.0,535.0,7.0,2708.0
8,1465.0,0.0,535.0,8.0,2708.0
9,1465.0,0.0,535.0,9.0,2708.0
10,1465.0,0.0,535.0,10.0,2708.0
11,1465.0,0.0,535.0,11.0,2708.0
12,1465.0,0.0,535.0,12.0,2708.0
13,1465.0,0.0,535.0,13.0,2708.0
14,1465.0,0.0,535.0,14.0,2708.0
15,1465.0,0.0,535.0,15.0,2708.0
16,1465.0,0.0,535.0,16.0,2708.0
17,1465.0,0.0,535.0,17.0,2708.0
18,1465.0,0.0,535.0,18.0,2708.0
19,1465.0,0.0,535.0,19.0,2708.0
20,1465.0,0.0,535.0,20.0,2708.0
